Observation,Action
"[-0.00644646  1.410243   -0.2140847  -0.03609895  0.00874135  0.04282401
  0.          0.        ]",3
"[-0.0084837   1.408842   -0.20380273 -0.0622702   0.00881875  0.00154835
  0.          0.        ]",3
"[-0.0105876   1.4082562  -0.21018064 -0.02603763  0.00861739 -0.00402758
  0.          0.        ]",2
"[-0.01268597  1.4081175  -0.20968921 -0.00615832  0.0084706  -0.00293633
  0.          0.        ]",2
"[-0.01482506  1.4080126  -0.2135756  -0.00465247  0.00814661 -0.00648
  0.          0.        ]",2
"[-0.01703758  1.4073172  -0.22280946 -0.03092297  0.00967311  0.03053249
  0.          0.        ]",1
"[-0.01931372  1.4067312  -0.22887662 -0.02604826  0.01091829  0.02490601
  0.          0.        ]",2
"[-0.02168741  1.4055362  -0.24110357 -0.05314327  0.01461598  0.07396055
  0.          0.        ]",1
"[-0.02414217  1.4037502  -0.2512654  -0.07944901  0.02034429  0.11457672
  0.          0.        ]",1
"[-0.02651444  1.4013621  -0.24090323 -0.10618624  0.02399193  0.07295905
  0.          0.        ]",3
"[-0.02881632  1.3983648  -0.23210323 -0.13324489  0.02587864  0.03773784
  0.          0.        ]",3
"[-0.03103437  1.3947757  -0.22156513 -0.15951326  0.02564896 -0.00459387
  0.          0.        ]",3
"[-0.03325234  1.3905865  -0.2215637  -0.18618193  0.02541987 -0.00458272
  0.          0.        ]",0
"[-0.03539228  1.3868258  -0.21421508 -0.16715007  0.02563896  0.00438214
  0.          0.        ]",2
"[-0.03747683  1.383939   -0.20906158 -0.12830868  0.02623555  0.01193294
  0.          0.        ]",2
"[-0.03948545  1.3819901  -0.20194764 -0.08663747  0.02731411  0.021573
  0.          0.        ]",2
"[-0.0415885   1.3794463  -0.21378274 -0.11313352  0.0307603   0.06893008
  0.          0.        ]",1
"[-0.04361505  1.3763115  -0.20419447 -0.13935043  0.03227771  0.03035096
  0.          0.        ]",3
"[-0.04560928  1.3736835  -0.2012213  -0.11684506  0.0340582   0.0356129
  0.          0.        ]",2
"[-0.04760351  1.3704551  -0.20122615 -0.1435229   0.03583781  0.03559575
  0.          0.        ]",0
"[-0.04953232  1.3674575  -0.19508827 -0.1332785   0.03801348  0.04351756
  0.          0.        ]",2
"[-0.05138845  1.3638701  -0.1859543  -0.15945348  0.03835177  0.00676629
  0.          0.        ]",3
"[-0.05342846  1.3603268  -0.20356512 -0.15747023  0.03791505 -0.00873496
  0.          0.        ]",2
"[-0.0553895   1.356173   -0.19365415 -0.18454681  0.03549847 -0.04833169
  0.          0.        ]",3
"[-0.05735045  1.3514194  -0.19365413 -0.21121399  0.03308187 -0.04833172
  0.          0.        ]",0
"[-0.05923615  1.3460814  -0.18419419 -0.23715807  0.02876277 -0.08638238
  0.          0.        ]",3
"[-0.06105928  1.3401533  -0.17634276 -0.26335964  0.02286685 -0.11791831
  0.          0.        ]",3
"[-0.06279135  1.3336307  -0.16491862 -0.28979528  0.0146817  -0.16370317
  0.          0.        ]",3
"[-0.06443167  1.3265216  -0.15339878 -0.31589788  0.00418666 -0.20990078
  0.          0.        ]",3
"[-0.06599788  1.3188034  -0.14409824 -0.3430457  -0.00817008 -0.24713485
  0.          0.        ]",3
"[-0.06765871  1.3104771  -0.15597293 -0.37014598 -0.01814998 -0.19959822
  0.          0.        ]",1
"[-0.06922694  1.3027823  -0.14707401 -0.34214407 -0.0277705  -0.19241035
  0.          0.        ]",2
"[-0.07070141  1.2944918  -0.13532278 -0.36874154 -0.03974264 -0.23944286
  0.          0.        ]",3
"[-0.07203169  1.2868952  -0.12143598 -0.3379785  -0.05120763 -0.22929974
  0.          0.        ]",2
"[-0.07343902  1.2792827  -0.12868312 -0.33879033 -0.06312025 -0.23825231
  0.          0.        ]",2
"[-0.07484627  1.2710723  -0.12868413 -0.36546886 -0.07503274 -0.23824997
  0.          0.        ]",0
"[-0.07617454  1.2622428  -0.11877061 -0.3931786  -0.08895441 -0.27843338
  0.          0.        ]",3
"[-0.07750263  1.2528161  -0.11877258 -0.41986144 -0.1028759  -0.2784297
  0.          0.        ]",0
"[-0.07883053  1.2427919  -0.11877489 -0.44654426 -0.11679721 -0.278426
  0.          0.        ]",0
"[-0.08015823  1.2321703  -0.11877754 -0.47322705 -0.1307183  -0.27842224
  0.          0.        ]",0
"[-0.08141251  1.2209458  -0.10960913 -0.50033087 -0.1464809  -0.31525218
  0.          0.        ]",3
"[-0.08260079  1.2105447  -0.10271472 -0.4639407  -0.16258256 -0.3220328
  0.          0.        ]",2
"[-0.08387051  1.1995687  -0.1130015  -0.48940617 -0.17657718 -0.2798921
  0.          0.        ]",1
"[-0.08504782  1.1879656  -0.10140227 -0.5177152  -0.19296722 -0.32780117
  0.          0.        ]",3
"[-0.08631925  1.1757858  -0.11327557 -0.54320055 -0.20693746 -0.27940443
  0.          0.        ]",1
"[-0.08750524  1.162978   -0.10255436 -0.571558   -0.22313981 -0.32404715
  0.          0.        ]",3
"[-0.08869056  1.1495739  -0.10256135 -0.5982462  -0.23934187 -0.3240413
  0.          0.        ]",0
"[-0.08980303  1.1355419  -0.0934404  -0.6266445  -0.25747296 -0.3626217
  0.          0.        ]",3
"[-0.0908372   1.120875   -0.08363281 -0.6554651  -0.2777098  -0.4047374
  0.          0.        ]",3
"[-0.09187031  1.1056132  -0.08364639 -0.6821649  -0.2979461  -0.40472603
  0.          0.        ]",0
"[-0.09298124  1.089795   -0.09362473 -0.7067176  -0.31603616 -0.36180136
  0.          0.        ]",1
"[-0.09401436  1.0733541  -0.0840009  -0.7350411  -0.33615127 -0.40230232
  0.          0.        ]",3
"[-0.09512768  1.0563511  -0.09422253 -0.7597793  -0.35409233 -0.3588211
  0.          0.        ]",1
"[-0.0963274   1.0387887  -0.10518676 -0.7842689  -0.36968783 -0.31190947
  0.          0.        ]",1
"[-0.09752636  1.0206294  -0.10519756 -0.8109545  -0.385283   -0.31190422
  0.          0.        ]",0
"[-0.09847927  1.003008   -0.08044627 -0.7872766  -0.40114242 -0.31718853
  0.          0.        ]",2
"[-0.09943142  0.98478955 -0.08045836 -0.81396276 -0.41700155 -0.31718302
  0.          0.        ]",0
"[-0.10038252  0.96597403 -0.08047091 -0.8406487  -0.4328604  -0.31717747
  0.          0.        ]",0
"[-0.10139132  0.9465962  -0.08786194 -0.8653171  -0.44705817 -0.28395548
  0.          0.        ]",1
"[-0.10239925  0.92662066 -0.08787271 -0.891999   -0.46125576 -0.28395155
  0.          0.        ]",0
"[-0.10347252  0.9061074  -0.09636383 -0.91537976 -0.47337702 -0.24242468
  0.          0.        ]",1
"[-0.10460997  0.8850519  -0.10464324 -0.93894035 -0.4834868  -0.20219569
  0.          0.        ]",1
"[-0.10574703  0.86339754 -0.10464915 -0.96561456 -0.4935965  -0.2021943
  0.          0.        ]",0
"[-0.10696049  0.8411991  -0.1143865  -0.98911434 -0.501422   -0.15650956
  0.          0.        ]",1
"[-0.10809527  0.81832784 -0.10430312 -1.0198941  -0.5117652  -0.20686416
  0.          0.        ]",3
"[-0.10929728  0.79490846 -0.11288466 -1.0436251  -0.5200667  -0.16603063
  0.          0.        ]",1
"[-0.10996036  0.7719884  -0.05944879 -1.0213114  -0.5278899  -0.15646516
  0.          0.        ]",2
"[-0.11069202  0.7485273  -0.06819686 -1.0446603  -0.53356826 -0.11356691
  0.          0.        ]",1
"[-0.1114234   0.7244664  -0.0681989  -1.0713292  -0.53924656 -0.11356566
  0.          0.        ]",0
"[-0.11215468  0.6998059  -0.06820098 -1.0979983  -0.5449248  -0.11356422
  0.          0.        ]",0
"[-0.11251736  0.6757898  -0.03089785 -1.0695702  -0.55113405 -0.12418668
  0.          0.        ]",2
"[-0.11295891  0.6512484  -0.04100987 -1.0920186  -0.55478364 -0.07299142
  0.          0.        ]",1
"[-0.11340036  0.6261073  -0.04101074 -1.1186862  -0.55843323 -0.07299139
  0.          0.        ]",0
"[-0.11377783  0.6003069  -0.03284662 -1.1487384  -0.56414694 -0.11427456
  0.          0.        ]",3
"[-0.11420994  0.57394546 -0.03972156 -1.173099   -0.56823176 -0.0816971
  0.          0.        ]",1
"[-0.11459503  0.546928   -0.0336044  -1.2028775  -0.57398206 -0.11500598
  0.          0.        ]",3
"[-0.11482964  0.5200968  -0.0179623  -1.194884   -0.5804651  -0.12966019
  0.          0.        ]",2
"[-0.11469297  0.4934987   0.01912002 -1.1845353  -0.58692116 -0.12912184
  0.          0.        ]",2
"[-0.11463728  0.46637636  0.00880557 -1.2068747  -0.5907522  -0.07662109
  0.          0.        ]",1
"[-0.11437817  0.43922204  0.02928645 -1.2083793  -0.5947781  -0.08051848
  0.          0.        ]",2
"[-0.11383972  0.41189396  0.05694504 -1.2159817  -0.5984701  -0.07383902
  0.          0.        ]",2
"[-0.11337443  0.38403234  0.04764422 -1.238803   -0.5998051  -0.02670079
  0.          0.        ]",1
"[-0.11297683  0.3556371   0.03899188 -1.2616633  -0.59889835  0.01813553
  0.          0.        ]",1
"[-0.11257935  0.32664186  0.03899182 -1.2883301  -0.5979916   0.01813543
  0.          0.        ]",0
"[-0.11225853  0.29713583  0.02904495 -1.3100076  -0.5943772   0.07228785
  0.          0.        ]",1
"[-0.11193781  0.26702994  0.02904403 -1.3366753  -0.59076285  0.07228784
  0.          0.        ]",0
"[-0.11168518  0.23638824  0.02034632 -1.3596706  -0.5849296   0.1166655
  0.          0.        ]",1
"[-0.11083432  0.20616354  0.07965667 -1.3409432  -0.5785214   0.12816456
  0.          0.        ]",2
"[-0.10974693  0.17605992  0.10355455 -1.335695   -0.57241255  0.12217508
  0.          0.        ]",2
"[-0.10865927  0.14535664  0.103552   -1.3623642  -0.5663038   0.12217493
  0.          0.        ]",0
"[-0.10764436  0.11412879  0.09417097 -1.3848251  -0.557757    0.17093548
  0.          0.        ]",1
"[-0.10618868  0.08291646  0.13759072 -1.383924   -0.54848486  0.18544361
  0.          0.        ]",2
"[-0.10467128  0.05103594  0.14552918 -1.4144017  -0.5413201   0.143295
  1.          0.        ]",3
"[-0.10324536  0.02184936  0.12098821 -1.2885708  -0.5212671   0.39502993
  1.          0.        ]",2
"[-0.10136032 -0.0076715   0.15308979 -1.2990628  -0.48145628  0.79611725
  1.          0.        ]",0
"[-9.9088766e-02 -2.0887926e-02  1.6531704e-03 -4.8509946e-01
 -2.5708097e-01  4.6608953e+00  1.0000000e+00  0.0000000e+00]",0
"[ 0.00871563  1.4263474   0.44077554  0.32995933 -0.00998292 -0.09881247
  0.          0.        ]",0
"[ 0.01298971  1.433186    0.4302556   0.30392355 -0.0128054  -0.05645442
  0.          0.        ]",1
"[ 0.01717806  1.439434    0.41951108  0.27768096 -0.0134704  -0.01330097
  0.          0.        ]",1
"[ 0.02136641  1.445082    0.41951194  0.25101253 -0.01413576 -0.01330869
  0.          0.        ]",0
"[ 0.02547274  1.4501247   0.40921506  0.22413635 -0.0127367   0.02798382
  0.          0.        ]",1
"[ 0.02964106  1.4545621   0.41699567  0.19720568 -0.01290098 -0.00328585
  0.          0.        ]",3
"[ 0.0337245   1.4583894   0.40635437  0.17012328 -0.01093253  0.03937237
  0.          0.        ]",1
"[ 0.03787327  1.4616042   0.41456518  0.14287747 -0.01061544  0.00634261
  0.          0.        ]",3
"[ 0.0421073   1.4655024   0.4227106   0.17326011 -0.00993563  0.01359733
  0.          0.        ]",2
"[ 0.04641275  1.468805    0.43169242  0.14677818 -0.0110567  -0.02242341
  0.          0.        ]",3
"[ 0.05064335  1.4715184   0.42228022  0.12060379 -0.01028727  0.01538986
  0.          0.        ]",1
"[ 0.05478096  1.4736242   0.41061988  0.09361319 -0.00718384  0.06207442
  0.          0.        ]",1
"[ 0.05898447  1.4751341   0.41888767  0.06711208 -0.00574005  0.02887867
  0.          0.        ]",3
"[ 0.06328621  1.4760433   0.43121344  0.04040375 -0.0067664  -0.02052883
  0.          0.        ]",3
"[ 0.0674139   1.4768829   0.41464972  0.03730188 -0.00862158 -0.03710732
  0.          0.        ]",2
"[ 0.07158165  1.4786876   0.41849723  0.08020128 -0.01033047 -0.03418121
  0.          0.        ]",2
"[ 0.07584391  1.4798819   0.43036827  0.05303875 -0.01441913 -0.08178091
  0.          0.        ]",3
"[ 0.08013363  1.4819235   0.4330303   0.09069494 -0.01844366 -0.08049767
  0.          0.        ]",2
"[ 0.08433533  1.4833703   0.42201072  0.06428035 -0.02025663 -0.03626247
  0.          0.        ]",1
"[ 0.08853712  1.4842173   0.42201477  0.0376168  -0.02207023 -0.03627542
  0.          0.        ]",0
"[ 0.09282446  1.4844565   0.43273824  0.01056896 -0.02603313 -0.07926525
  0.          0.        ]",3
"[ 0.09717207  1.4841018   0.4402929  -0.01587062 -0.03150258 -0.10939856
  0.          0.        ]",3
"[ 0.10144605  1.4843006   0.4333888   0.00869898 -0.03742535 -0.118466
  0.          0.        ]",2
"[ 0.10566654  1.4853444   0.4284461   0.04622276 -0.0437626  -0.12675625
  0.          0.        ]",2
"[ 0.10988636  1.4857674   0.4283989   0.018596   -0.05009962 -0.12674029
  0.          0.        ]",0
"[ 0.11410628  1.4855909   0.4283986  -0.00807402 -0.05643661 -0.12673981
  0.          0.        ]",0
"[ 0.11839886  1.4860961   0.43555373  0.02220508 -0.06266001 -0.12446781
  0.          0.        ]",2
"[ 0.12278986  1.4859991   0.4478847  -0.00470239 -0.07135364 -0.173873
  0.          0.        ]",3
"[ 0.12726021  1.485293    0.4578514  -0.03193757 -0.08205342 -0.21399598
  0.          0.        ]",3
"[ 0.13186769  1.4845105   0.47103673 -0.03537218 -0.09225366 -0.20400457
  0.          0.        ]",2
"[ 0.13647528  1.4831297   0.47103563 -0.06204752 -0.10245382 -0.20400321
  0.          0.        ]",0
"[ 0.14108285  1.48115     0.47103435 -0.08872286 -0.1126539  -0.20400171
  0.          0.        ]",0
"[ 0.14577627  1.478555    0.48178196 -0.11632276 -0.12503222 -0.24756655
  0.          0.        ]",3
"[ 0.15069322  1.476006    0.503351   -0.1143071  -0.13663173 -0.23198989
  0.          0.        ]",2
"[ 0.15567617  1.4728376   0.5116386  -0.14209405 -0.149933   -0.26602525
  0.          0.        ]",3
"[ 0.16075468  1.4690593   0.5235663  -0.1695867  -0.16564229 -0.31418628
  0.          0.        ]",3
"[ 0.16575365  1.4646966   0.5135423  -0.19547084 -0.1793224  -0.27360216
  0.          0.        ]",1
"[ 0.17084607  1.4597175   0.52522576 -0.22331041 -0.19538333 -0.32121858
  0.          0.        ]",3
"[ 0.17593889  1.4541419   0.5252197  -0.2499983  -0.21144399 -0.32121292
  0.          0.        ]",0
"[ 0.18129663  1.4492159   0.5512826  -0.22122774 -0.22711383 -0.3133968
  0.          0.        ]",2
"[ 0.18673572  1.4436724   0.56139386 -0.24916123 -0.24486358 -0.3549955
  0.          0.        ]",3
"[ 0.19211273  1.4375467   0.55354065 -0.274985   -0.2610096  -0.32292038
  0.          0.        ]",1
"[ 0.19742708  1.4308584   0.54551685 -0.29983827 -0.2754254  -0.28831583
  0.          0.        ]",1
"[ 0.20280465  1.4235362   0.5534823  -0.32847118 -0.29157797 -0.32305092
  0.          0.        ]",3
"[ 0.20824185  1.4155977   0.560832   -0.35635787 -0.3092718  -0.35387748
  0.          0.        ]",3
"[ 0.21360235  1.4071116   0.5510089  -0.38041824 -0.32479072 -0.31037802
  0.          0.        ]",1
"[ 0.21890478  1.3980634   0.5435199  -0.40517598 -0.33865714 -0.27732915
  0.          0.        ]",1
"[ 0.22412615  1.3884579   0.53323615 -0.4295648  -0.35029465 -0.23275015
  0.          0.        ]",1
"[ 0.22927752  1.3782951   0.5243346  -0.45395067 -0.3599615  -0.19333756
  0.          0.        ]",1
"[ 0.23450622  1.3674879   0.534053   -0.48316875 -0.37178922 -0.23655502
  0.          0.        ]",3
"[ 0.24008885  1.3574913   0.5694527  -0.44724792 -0.38367054 -0.23762672
  0.          0.        ]",2
"[ 0.2457385   1.3468486   0.57791424 -0.47655645 -0.3974966  -0.27652162
  0.          0.        ]",3
"[ 0.25138885  1.3356084   0.57790506 -0.5032379  -0.41132253 -0.276518
  0.          0.        ]",0
"[ 0.25728673  1.324367    0.60230064 -0.5033117  -0.42483667 -0.27028236
  0.          0.        ]",2
"[ 0.26357824  1.3132274   0.6408795  -0.49868867 -0.43758306 -0.25492805
  0.          0.        ]",2
"[ 0.26987028  1.3014896   0.6408709  -0.5253677  -0.4503293  -0.2549252
  0.          0.        ]",0
"[ 0.276163    1.2891539   0.6408621  -0.5520466  -0.46307543 -0.25492233
  0.          0.        ]",0
"[ 0.28237408  1.2762753   0.6304738  -0.5755371  -0.47342384 -0.20696804
  0.          0.        ]",1
"[ 0.28865376  1.2627373   0.6391846  -0.60556877 -0.4859043  -0.24960999
  0.          0.        ]",3
"[ 0.29499465  1.2485527   0.64688694 -0.63500077 -0.5002361  -0.286636
  0.          0.        ]",3
"[ 0.3013366   1.2337705   0.6468747  -0.6616825  -0.51456773 -0.286632
  0.          0.        ]",0
"[ 0.30822983  1.2196817   0.70168436 -0.63089716 -0.5286411  -0.2814676
  0.          0.        ]",2
"[ 0.31535235  1.2060041   0.7250932  -0.6129678  -0.5433702  -0.2945805
  0.          0.        ]",2
"[ 0.3226839   1.1924624   0.7461723  -0.6071757  -0.5584446  -0.30148846
  0.          0.        ]",2
"[ 0.3306015   1.1793388   0.80410767 -0.5884902  -0.5728829  -0.2887655
  0.          0.        ]",2
"[ 0.3386051   1.1655476   0.8148289  -0.6192743  -0.58996725 -0.34168774
  0.          0.        ]",3
"[ 0.34656438  1.1512189   0.8088444  -0.6426747  -0.60536766 -0.30800772
  0.          0.        ]",1
"[ 0.354525    1.1362929   0.8088276  -0.6693577  -0.6207678  -0.30800265
  0.          0.        ]",0
"[ 0.3628297   1.1214387   0.8430171  -0.6662556  -0.636078   -0.30620474
  0.          0.        ]",2
"[ 0.37107983  1.1060362   0.8359933  -0.69002736 -0.6496066  -0.2705719
  0.          0.        ]",1
"[ 0.3793311   1.0900356   0.83597946 -0.7167063  -0.663135   -0.27056843
  0.          0.        ]",0
"[ 0.38758326  1.073437    0.83596545 -0.74338514 -0.6766632  -0.27056506
  0.          0.        ]",0
"[ 0.39590406  1.056149    0.84473693 -0.7752369  -0.69278693 -0.32247394
  0.          0.        ]",3
"[ 0.40477628  1.0390563   0.89941204 -0.7665166  -0.70851326 -0.3145264
  0.          0.        ]",2
"[ 0.41370288  1.0212923   0.906253   -0.79740787 -0.7263171  -0.35607725
  0.          0.        ]",3
"[ 0.4231221   1.0035465   0.95499057 -0.79656583 -0.74368167 -0.34729087
  0.          0.        ]",2
"[ 0.4324811   0.9852977   0.9468571  -0.8178805  -0.7584774  -0.29591462
  0.          0.        ]",1
"[ 0.44243422  0.96769065  1.0065867  -0.78974986 -0.7739117  -0.30868608
  0.          0.        ]",2
"[ 0.45232707  0.94958913  0.9984633  -0.8105557  -0.78663415 -0.25444865
  0.          0.        ]",1
"[ 0.46268854  0.9313209   1.04479    -0.8177492  -0.7987718  -0.2427533
  0.          0.        ]",2
"[ 0.47305107  0.9124543   1.0447767  -0.8444244  -0.81090933 -0.24275081
  0.          0.        ]",0
"[ 0.4833541   0.8930818   1.036967   -0.86570793 -0.8204954  -0.19172147
  0.          0.        ]",1
"[ 0.49372196  0.873015    1.0451939  -0.8979383  -0.8327411  -0.2449133
  0.          0.        ]",3
"[ 0.5041429   0.8522777   1.0517923  -0.92886156 -0.8470638  -0.28645572
  0.          0.        ]",3
"[ 0.5150445  0.8317612  1.0999858 -0.9193595 -0.8618099 -0.2949235
  0.         0.       ]",2
"[ 0.52626264  0.81129545  1.1318233  -0.91748357 -0.8771266  -0.3063338
  0.          0.        ]",2
"[ 0.5374482   0.79030925  1.127208   -0.93974036 -0.8905705  -0.26887923
  0.          0.        ]",1
"[ 0.54868716  0.768639    1.133863   -0.9714411  -0.9063293  -0.31517637
  0.          0.        ]",3
"[ 0.55992794  0.7463708   1.1338385  -0.99812067 -0.92208785 -0.315171
  0.          0.        ]",0
"[ 0.5711233   0.7235991   1.1276395  -1.0193055  -0.93544596 -0.26716185
  0.          0.        ]",1
"[ 0.5822611   0.7003321   1.120119   -1.0398645  -0.9460539  -0.21215943
  0.          0.        ]",1
"[ 0.5933997   0.67646617  1.1201074  -1.0665368  -0.9566618  -0.21215776
  0.          0.        ]",0
"[ 0.60458183  0.65193003  1.1254724  -1.0974468  -0.9691972  -0.25070918
  0.          0.        ]",3
"[ 0.6163124   0.6275525   1.1804798  -1.0907276  -0.9822247  -0.26055002
  0.          0.        ]",2
"[ 0.6279888   0.6026897   1.1732926  -1.1107191  -0.9923567  -0.20264061
  0.          0.        ]",1
"[ 0.64011115  0.5773917   1.2174304  -1.1297036  -1.0017855  -0.18857582
  0.          0.        ]",2
"[ 0.6522751   0.55139124  1.2228445  -1.1623843  -1.013711   -0.23851009
  0.          0.        ]",3
"[ 0.66499346  0.52537304  1.2782627  -1.1633213  -1.0258037  -0.2418532
  0.          0.        ]",2
"[ 0.6777468   0.4986744   1.2826544  -1.1947753  -1.0398972  -0.28186923
  0.          0.        ]",3
"[ 0.6905533   0.47126973  1.2891675  -1.227833   -1.0567304  -0.3366629
  0.          0.        ]",3
"[ 0.7041119   0.44392204  1.3641832  -1.2254275  -1.0736151  -0.33769515
  0.          0.        ]",2
"[ 0.71771204  0.41585207  1.3694216  -1.259363   -1.093411   -0.3959191
  0.          0.        ]",3
"[ 0.73134005  0.387105    1.3727056  -1.290705   -1.115075   -0.43328094
  0.          0.        ]",3
"[ 0.74494094  0.35784546  1.3686785  -1.312368   -1.1346862  -0.39222497
  0.          0.        ]",1
"[ 0.75858307  0.3278744   1.37356    -1.345782   -1.1570171  -0.44662094
  0.          0.        ]",3
"[ 0.77226007  0.29722053  1.3773725  -1.3775555  -1.1814176  -0.48801047
  0.          0.        ]",3
"[ 0.78591824  0.2660806   1.3740274  -1.3977172  -1.2032895  -0.4374389
  0.          0.        ]",1
"[ 0.7995483   0.23447508  1.3696997  -1.4165847  -1.222101   -0.37622947
  0.          0.        ]",1
"[ 0.8141352   0.20291878  1.465173   -1.4147123  -1.2412806  -0.38359204
  0.          0.        ]",2
"[ 0.8290922   0.17097639  1.501839   -1.4319979  -1.2605298  -0.38498342
  0.          0.        ]",2
"[ 0.84406585  0.13834463  1.5037447  -1.4640365  -1.281825   -0.42590395
  0.          0.        ]",3
"[ 0.859791    0.10550903  1.5785038  -1.4732994  -1.3032993  -0.42948833
  0.          0.        ]",2
"[ 0.8764612   0.07256449  1.6726513  -1.4784217  -1.325077   -0.43555617
  1.          0.        ]",2
"[ 0.8926638   0.05419365  1.6508329  -0.97613865 -1.559551   -4.680195
  1.          0.        ]",1
"[ 0.9093338   0.03505813  1.6444334  -1.0091537  -1.7958455  -4.72602
  1.          0.        ]",3
"[ 0.92241174  0.03648077  1.1492813   0.2619042  -1.9228383  -1.8073345
  1.          0.        ]",1
"[ 0.01437807  1.4026763   0.7336823  -0.19608101 -0.01856775 -0.20591862
  0.          0.        ]",3
"[ 0.02161121  1.3976678   0.7337143  -0.22276214 -0.02885649 -0.20579386
  0.          0.        ]",0
"[ 0.02884474  1.3920605   0.7337452  -0.24944082 -0.03914425 -0.20577398
  0.          0.        ]",0
"[ 0.03599625  1.3858554   0.72345364 -0.27601638 -0.04736064 -0.16434242
  0.          0.        ]",1
"[ 0.04314794  1.3790514   0.7234765  -0.30268967 -0.05557658 -0.16433416
  0.          0.        ]",0
"[ 0.05022764  1.371644    0.7144325  -0.32946628 -0.06197751 -0.12803033
  0.          0.        ]",1
"[ 0.05730753  1.3636372   0.71444976 -0.35613814 -0.0683782  -0.12802589
  0.          0.        ]",0
"[ 0.06434927  1.3555813   0.7109327  -0.35836586 -0.07507861 -0.13402054
  0.          0.        ]",2
"[ 0.07148027  1.3469086   0.7221405  -0.3859301  -0.08403961 -0.17923641
  0.          0.        ]",3
"[ 0.07861166  1.3376368   0.7221673  -0.4126033  -0.09299836 -0.1791914
  0.          0.        ]",0
"[ 0.08568458  1.3290044   0.7169426  -0.38428313 -0.10259607 -0.19197218
  0.          0.        ]",2
"[ 0.09268198  1.3206022   0.7100206  -0.37417242 -0.11281469 -0.20439109
  0.          0.        ]",2
"[ 0.09980498  1.3124068   0.7222527  -0.36502096 -0.12272984 -0.1983206
  0.          0.        ]",2
"[ 0.10692835  1.3036125   0.7222791  -0.39170232 -0.1326439  -0.19829956
  0.          0.        ]",0
"[ 0.11422129  1.2952881   0.7388818  -0.37085027 -0.14220975 -0.19133464
  0.          0.        ]",2
"[ 0.1215146   1.2863647   0.7389052  -0.39753675 -0.15177438 -0.19130948
  0.          0.        ]",0
"[ 0.12880841  1.2768424   0.7389316  -0.42421153 -0.16133736 -0.19127734
  0.          0.        ]",0
"[ 0.13610248  1.2667212   0.7389567  -0.45088938 -0.17089887 -0.19124763
  0.          0.        ]",0
"[ 0.14348173  1.2559772   0.7496284  -0.4789033  -0.18264702 -0.23498419
  0.          0.        ]",3
"[ 0.15089226  1.2451843   0.7528874  -0.48118442 -0.19456205 -0.23832186
  0.          0.        ]",2
"[ 0.15830335  1.2337931   0.7529163  -0.5078728  -0.20647548 -0.23829007
  0.          0.        ]",0
"[ 0.1660059   1.2227235   0.7813024  -0.49356338 -0.21764712 -0.22345276
  0.          0.        ]",2
"[ 0.173709    1.2110553   0.78132707 -0.5202539  -0.22881766 -0.22343066
  0.          0.        ]",0
"[ 0.1814127   1.1987884   0.78135514 -0.5469354  -0.23998618 -0.22339018
  0.          0.        ]",0
"[ 0.18923827  1.1870899   0.7941927  -0.5218741  -0.2518359  -0.23700213
  0.          0.        ]",2
"[ 0.19706869  1.1747802   0.7942579  -0.54905397 -0.26328167 -0.22891538
  0.          0.        ]",0
"[ 0.20527935  1.1632652   0.83167565 -0.5137271  -0.27414924 -0.21735048
  0.          0.        ]",2
"[ 0.2134902   1.1511514   0.8316716  -0.5404034  -0.28501672 -0.2173487
  0.          0.        ]",0
"[ 0.2220418   1.1396718   0.865281   -0.5122272  -0.2954419  -0.20850345
  0.          0.        ]",2
"[ 0.23059377  1.1275933   0.8652771  -0.5389025  -0.305867   -0.20850186
  0.          0.        ]",0
"[ 0.2392252   1.1148725   0.8753096  -0.5679837  -0.31848246 -0.25230947
  0.          0.        ]",3
"[ 0.24794607  1.102381    0.8845908  -0.55797    -0.33150592 -0.2604695
  0.          0.        ]",2
"[ 0.25659007  1.0893338   0.87480897 -0.58230937 -0.34239042 -0.21768992
  0.          0.        ]",1
"[ 0.26523447  1.0756879   0.874804   -0.60898536 -0.35327482 -0.21768817
  0.          0.        ]",0
"[ 0.27394295  1.0614178   0.88277495 -0.6372087  -0.36585972 -0.25169808
  0.          0.        ]",3
"[ 0.28271627  1.0465002   0.8910066  -0.6665593  -0.38034654 -0.2897366
  0.          0.        ]",3
"[ 0.2914316   1.031028    0.88350946 -0.6909021  -0.39311248 -0.25531825
  0.          0.        ]",1
"[ 0.30014744  1.0149577   0.8835017  -0.71758145 -0.40587825 -0.25531542
  0.          0.        ]",0
"[ 0.30878526  0.9983295   0.8736145  -0.7418804  -0.41647148 -0.21186471
  0.          0.        ]",1
"[ 0.31774473  0.9826079   0.9062233  -0.70180225 -0.4275827  -0.22222464
  0.          0.        ]",2
"[ 0.3267048   0.9662879   0.9062168  -0.7284783  -0.43869385 -0.22222273
  0.          0.        ]",0
"[ 0.3357525   0.9493116   0.9172417  -0.7584627  -0.4523356  -0.27283445
  0.          0.        ]",3
"[ 0.3448597   0.93170804  0.924588   -0.7869517  -0.4676003  -0.30529368
  0.          0.        ]",3
"[ 0.3540452   0.9134392   0.93448055 -0.81740654 -0.48527777 -0.35355046
  0.          0.        ]",3
"[ 0.36317444  0.89461327  0.92718637 -0.8418176  -0.5012647  -0.3197382
  0.          0.        ]",1
